State/UT,2018,2019,2020,2014,2015,2016,2017,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ANDHRA PRADESH,1207,1886,1899,282.0,536.0,616.0,931.0,261.0,221.0,101.0,82.0,82.0,69.0,103.0,38.0,171.0,372.0,651.0,651.0
ARUNACHAL PRADESH,7,8,30,18.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,14.0,10.0,10.0
ASSAM,2022,2231,3530,379.0,483.0,696.0,1120.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,4.0,18.0,31.0,154.0,154.0
BIHAR,374,1050,1512,114.0,242.0,309.0,433.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,38.0,139.0,139.0
CHHATTISGARH,139,175,297,123.0,103.0,90.0,171.0,0.0,0.0,0.0,46.0,28.0,57.0,20.0,50.0,50.0,78.0,101.0,101.0
GOA,29,15,40,62.0,17.0,31.0,13.0,8.0,2.0,0.0,0.0,0.0,4.0,6.0,12.0,16.0,18.0,58.0,58.0
GUJARAT,702,784,1283,227.0,242.0,362.0,458.0,250.0,29.0,126.0,155.0,158.0,3.0,33.0,36.0,55.0,67.0,77.0,77.0
HARYANA,418,564,656,151.0,224.0,401.0,504.0,2.0,1.0,0.0,9.0,2.0,1.0,0.0,0.0,1.0,45.0,323.0,323.0
HIMACHAL PRADESH,69,76,98,38.0,50.0,31.0,56.0,99.0,87.0,0.0,0.0,0.0,0.0,6.0,6.0,17.0,12.0,28.0,28.0
JHARKHAND,930,1095,1204,93.0,180.0,259.0,720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,26.0,26.0
KARNATAKA,5839,12020,10741,1020.0,1447.0,1101.0,3174.0,15.0,8.0,14.0,38.0,27.0,41.0,57.0,97.0,176.0,160.0,533.0,533.0
KERALA,340,307,426,450.0,290.0,283.0,320.0,4.0,1.0,2.0,3.0,12.0,38.0,67.0,71.0,156.0,245.0,383.0,383.0
MADHYA PRADESH,740,602,699,289.0,231.0,258.0,490.0,0.0,0.0,0.0,0.0,5.0,164.0,11.0,17.0,35.0,103.0,342.0,342.0
MAHARASHTRA,3511,4967,5496,1879.0,2195.0,2380.0,3604.0,13.0,17.0,21.0,27.0,36.0,50.0,39.0,161.0,246.0,393.0,907.0,907.0
MANIPUR,29,4,79,13.0,6.0,11.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
MEGHALAYA,74,89,142,60.0,56.0,39.0,39.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,17.0,17.0
MIZORAM,6,8,13,22.0,8.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0
NAGALAND,2,2,8,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ODISHA,843,1485,1931,124.0,386.0,317.0,824.0,4.0,5.0,1.0,6.0,0.0,2.0,15.0,13.0,12.0,12.0,104.0,104.0
PUNJAB,239,243,378,226.0,149.0,102.0,176.0,29.0,63.0,6.0,50.0,55.0,49.0,47.0,56.0,68.0,79.0,156.0,156.0
RAJASTHAN,1104,1762,1354,697.0,949.0,941.0,1304.0,0.0,0.0,0.0,18.0,4.0,16.0,4.0,28.0,55.0,146.0,297.0,297.0
SIKKIM,1,2,0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
TAMIL NADU,295,385,782,172.0,142.0,144.0,228.0,3.0,10.0,50.0,22.0,8.0,15.0,25.0,37.0,77.0,45.0,90.0,90.0
